model,org,is-small,is-small-comparable,avg,lua,julia,r
Qwen3-4B-CF-Lua,ours,true,true,12.67,23,9,6
Qwen3-4B-CF-Julia,ours,true,true,13.33,10,22,8
Qwen3-4B-CF-R,ours,true,true,12.33,11,11,15
Qwen3-8B-CF-Lua,ours,true,true,15.00,25,10,10
Qwen3-8B-CF-Julia,ours,true,true,16.00,10,25,13
Qwen3-8B-CF-R,ours,true,true,13.67,11,11,19
SmolLM3-Lua,ours,true,true,3.67,8,3,0
SmolLM3-Julia,ours,true,true,3.00,1,8,0
SmolLM3-R,ours,true,true,1.33,1,3,0
Kimi K2,?,false,false,31.33,43,37,14
Sonnet 4,Anthropic,false,false,34.00,41,40,21
Llama 3.3 70B Instruct,Meta,false,true,20.00,25,22,13
DeepSeek Coder v2 Lite Instruct 16B,DeepSeek,true,true,11.33,13,12,9
Qwen 3 32B,Alibaba Cloud,false,true,21.67,22,26,17
Qwen 3 4B,Alibaba Cloud,true,true,10.33,11,10,10
Qwen 3 8B,Alibaba Cloud,true,true,9.67,11,9,9
Qwen 3 Coder 30B,AlibabaCloud,false,false,18.33,29,19,7
SmolLM3,HuggingFace,true,true,1.00,1,2,0
